Regiao,Estado,Cidade,Ano,Mes,Dia,Temp_Max,Temp_Min,Temp_Media
Norte,AC,Rio Branco,2021,8,15,32.6,19.0,25.8
Norte,AC,Rio Branco,2021,8,16,33.8,19.9,26.85
Norte,AC,Rio Branco,2021,8,17,34.2,21.0,27.6
Norte,AC,Rio Branco,2021,8,18,33.8,22.2,28.0
Norte,AC,Rio Branco,2021,8,19,33.5,21.1,27.3
Norte,AC,Rio Branco,2021,8,20,33.7,22.5,28.1
Norte,AC,Rio Branco,2021,8,21,34.0,21.9,27.95
Norte,AC,Rio Branco,2021,8,22,34.3,23.0,28.65
Norte,AC,Rio Branco,2021,8,23,34.0,23.5,28.75
Norte,AC,Rio Branco,2021,8,24,35.0,24.2,29.6
Norte,AC,Rio Branco,2021,8,25,34.8,23.2,29.0
Norte,AC,Rio Branco,2021,8,26,34.0,23.9,28.95
Norte,AC,Rio Branco,2021,8,27,31.0,21.2,26.1
Norte,AC,Rio Branco,2021,8,28,32.7,21.0,26.85
Norte,AC,Rio Branco,2021,8,29,34.8,23.2,29.0
Norte,AC,Rio Branco,2021,8,30,32.2,23.0,27.6
Norte,AC,Rio Branco,2021,8,31,34.8,22.6,28.7
Norte,AC,Rio Branco,2021,9,1,33.0,23.0,28.0
Norte,AC,Rio Branco,2021,9,2,34.7,23.0,28.85
Norte,AC,Rio Branco,2021,9,3,35.2,22.5,28.85
Norte,AC,Rio Branco,2021,9,4,35.1,24.0,29.55
Norte,AC,Rio Branco,2021,9,5,34.7,25.0,29.85
Norte,AC,Rio Branco,2021,9,6,32.2,23.5,27.85
Norte,AC,Rio Branco,2021,9,7,34.0,22.2,28.1
Norte,AC,Rio Branco,2021,9,8,35.2,23.8,29.5
Norte,AC,Rio Branco,2021,9,9,35.2,23.9,29.55
Norte,AC,Rio Branco,2021,9,10,27.0,21.5,24.25
Norte,AC,Rio Branco,2021,9,11,31.0,18.2,24.6
Norte,AC,Rio Branco,2021,9,12,33.5,22.6,28.05
Norte,AC,Rio Branco,2021,9,13,33.7,23.6,28.65
Norte,AC,Rio Branco,2021,9,14,35.2,23.9,29.55
Norte,AC,Rio Branco,2021,9,15,35.8,24.2,30.0
Norte,AC,Rio Branco,2021,9,16,32.3,23.0,27.65
Norte,AC,Rio Branco,2021,9,17,33.4,21.7,27.55
Norte,AC,Rio Branco,2021,9,18,34.2,23.4,28.8
Norte,AC,Rio Branco,2021,9,19,34.5,23.5,29.0
Norte,AC,Rio Branco,2021,9,20,35.8,23.5,29.65
Norte,AC,Rio Branco,2021,9,21,35.8,24.0,29.9
Norte,AC,Rio Branco,2021,9,22,34.8,22.9,28.85
Norte,AC,Rio Branco,2021,9,23,33.3,23.9,28.6
Norte,AC,Rio Branco,2021,9,24,33.8,21.9,27.85
Norte,AC,Rio Branco,2021,9,25,33.0,22.0,27.5
Norte,AC,Rio Branco,2021,9,26,35.7,22.6,29.15
Norte,AC,Rio Branco,2021,9,27,35.6,23.1,29.35
Norte,AC,Rio Branco,2021,9,28,35.5,23.9,29.7
Norte,AC,Rio Branco,2021,9,29,34.8,24.4,29.6
Norte,AC,Rio Branco,2021,9,30,34.7,23.0,28.85
Norte,AC,Rio Branco,2021,10,1,35.0,23.1,29.05
Norte,AC,Rio Branco,2021,10,2,35.2,23.5,29.35
Norte,AC,Rio Branco,2021,10,3,34.8,24.4,29.6
Norte,AC,Rio Branco,2021,10,4,32.8,23.6,28.2
Norte,AC,Rio Branco,2021,10,5,25.6,23.2,24.4
Norte,AC,Rio Branco,2021,10,6,30.7,22.9,26.8
Norte,AC,Rio Branco,2021,10,7,32.3,21.8,27.05
Norte,AC,Rio Branco,2021,10,8,30.5,22.7,26.6
Norte,AC,Rio Branco,2021,10,9,34.0,23.0,28.5
Norte,AC,Rio Branco,2021,10,10,34.6,23.2,28.9
Norte,AC,Rio Branco,2021,10,11,35.7,23.9,29.8
Norte,AC,Rio Branco,2021,10,12,35.7,25.1,30.4
Norte,AC,Rio Branco,2021,10,13,34.8,23.8,29.3
Norte,AC,Rio Branco,2021,10,14,34.8,25.0,29.9
Norte,AC,Rio Branco,2021,10,15,35.1,24.6,29.85
Norte,AC,Rio Branco,2021,10,16,32.5,22.9,27.7
Norte,AC,Rio Branco,2021,10,17,29.7,21.5,25.6
Norte,AC,Rio Branco,2021,10,18,31.2,21.0,26.1
Norte,AC,Rio Branco,2021,10,19,27.0,22.9,24.95
Norte,AC,Rio Branco,2021,10,20,30.9,21.8,26.35
Norte,AC,Rio Branco,2021,10,21,30.9,22.9,26.9
Norte,AC,Rio Branco,2021,10,22,32.0,23.9,27.95
Norte,AC,Rio Branco,2021,10,23,32.9,24.6,28.75
Norte,AC,Rio Branco,2021,10,24,33.4,24.0,28.7
Norte,AC,Rio Branco,2021,10,25,25.5,20.9,23.2
Norte,AC,Rio Branco,2021,10,26,27.0,20.0,23.5
Norte,AC,Rio Branco,2021,10,27,30.9,21.2,26.05
Norte,AC,Rio Branco,2021,10,28,28.3,22.2,25.25
Norte,AC,Rio Branco,2021,10,29,31.4,22.9,27.15
Norte,AC,Rio Branco,2021,10,30,33.2,21.3,27.25
Norte,AC,Rio Branco,2021,10,31,32.8,22.8,27.8
Norte,AC,Rio Branco,2021,11,1,33.4,23.4,28.4
Norte,AC,Rio Branco,2021,11,2,30.0,24.0,27.0
Norte,AC,Rio Branco,2021,11,3,30.2,22.5,26.35
Norte,AC,Rio Branco,2021,11,4,30.1,22.9,26.5
Norte,AC,Rio Branco,2021,11,5,28.0,22.8,25.4
Norte,AC,Rio Branco,2021,11,6,31.9,21.5,26.7
Norte,AC,Rio Branco,2021,11,7,27.6,22.5,25.05
Norte,AC,Rio Branco,2021,11,8,29.6,22.1,25.85
Norte,AC,Rio Branco,2021,11,9,30.9,22.0,26.45
Norte,AC,Rio Branco,2021,11,10,28.9,22.2,25.55
Norte,AC,Rio Branco,2021,11,11,30.9,23.0,26.95
Norte,AC,Rio Branco,2021,11,12,29.2,22.8,26.0
Norte,AC,Rio Branco,2021,11,13,30.5,22.4,26.45
Norte,AC,Rio Branco,2021,11,14,31.0,23.0,27.0
Norte,AC,Rio Branco,2021,11,15,31.4,23.5,27.45
Norte,AC,Rio Branco,2021,11,16,28.6,23.9,26.25
Norte,AC,Rio Branco,2021,11,17,28.1,22.9,25.5
Norte,AC,Rio Branco,2021,11,18,29.1,22.6,25.85
Norte,AC,Rio Branco,2021,11,19,26.9,22.6,24.75
Norte,AC,Rio Branco,2021,11,20,28.5,22.4,25.45
Norte,AC,Rio Branco,2021,11,21,30.0,22.0,26.0
Norte,AC,Rio Branco,2021,11,22,30.5,23.5,27.0
Norte,AC,Rio Branco,2021,11,23,30.5,23.3,26.9
Norte,AC,Rio Branco,2021,11,24,29.3,22.4,25.85
Norte,AC,Rio Branco,2021,11,25,29.9,21.7,25.8
Norte,AC,Rio Branco,2021,11,26,30.9,23.0,26.95
Norte,AC,Rio Branco,2021,11,27,30.9,22.8,26.85
Norte,AC,Rio Branco,2021,11,28,29.1,22.9,26.0
Norte,AC,Rio Branco,2021,11,29,31.1,22.5,26.8
Norte,AC,Rio Branco,2021,11,30,28.7,23.5,26.1
Norte,AC,Rio Branco,2021,12,1,30.5,22.8,26.65
Norte,AC,Rio Branco,2021,12,2,29.0,23.1,26.05
Norte,AC,Rio Branco,2021,12,3,30.8,23.6,27.2
Norte,AC,Rio Branco,2021,12,4,30.4,22.9,26.65
Norte,AC,Rio Branco,2021,12,5,29.0,23.0,26.0
Norte,AC,Rio Branco,2021,12,6,27.1,22.6,24.85
Norte,AC,Rio Branco,2021,12,7,29.5,22.3,25.9
Norte,AC,Rio Branco,2021,12,8,29.1,23.0,26.05
Norte,AC,Rio Branco,2021,12,9,27.8,23.1,25.45
Norte,AC,Rio Branco,2021,12,10,29.1,22.8,25.95
Norte,AC,Rio Branco,2021,12,11,30.5,23.1,26.8
Norte,AC,Rio Branco,2021,12,12,29.4,23.8,26.6
Norte,AC,Rio Branco,2021,12,13,31.5,23.4,27.45
Norte,AC,Rio Branco,2021,12,14,29.6,23.2,26.4
Norte,AC,Rio Branco,2021,12,15,29.9,22.6,26.25
Norte,AC,Rio Branco,2021,12,16,27.8,23.5,25.65
Norte,AC,Rio Branco,2021,12,17,30.7,23.3,27.0
Norte,AC,Rio Branco,2021,12,18,29.6,22.6,26.1
Norte,AC,Rio Branco,2021,12,19,27.4,22.8,25.1
Norte,AC,Rio Branco,2021,12,20,27.8,22.9,25.35
Norte,AC,Rio Branco,2021,12,21,28.0,23.3,25.65
Norte,AC,Rio Branco,2021,12,22,29.5,23.0,26.25
Norte,AC,Rio Branco,2021,12,23,28.7,22.2,25.45
Norte,AC,Rio Branco,2021,12,24,30.6,21.5,26.05
Norte,AC,Rio Branco,2021,12,25,32.8,23.2,28.0
Norte,AC,Rio Branco,2021,12,26,32.5,23.8,28.15
Norte,AC,Rio Branco,2021,12,27,28.8,22.8,25.8
Norte,AC,Rio Branco,2021,12,28,31.0,23.5,27.25
Norte,AC,Rio Branco,2021,12,29,27.8,23.3,25.55
Norte,AC,Rio Branco,2021,12,30,31.1,22.6,26.85
Norte,AC,Rio Branco,2021,12,31,31.5,23.5,27.5
Norte,AC,Rio Branco,2022,1,1,31.5,24.0,27.75
Norte,AC,Rio Branco,2022,1,2,31.2,24.0,27.6
Norte,AC,Rio Branco,2022,1,3,31.5,23.9,27.7
Norte,AC,Rio Branco,2022,1,4,30.8,23.6,27.2
Norte,AC,Rio Branco,2022,1,5,32.0,23.3,27.65
Norte,AC,Rio Branco,2022,1,6,29.6,23.0,26.3
Norte,AC,Rio Branco,2022,1,7,30.4,22.3,26.35
Norte,AC,Rio Branco,2022,1,8,30.3,24.0,27.15
Norte,AC,Rio Branco,2022,1,9,29.5,22.6,26.05
Norte,AC,Rio Branco,2022,1,10,29.8,22.6,26.2
Norte,AC,Rio Branco,2022,1,11,30.2,22.5,26.35
Norte,AC,Rio Branco,2022,1,12,28.3,23.0,25.65
Norte,AC,Rio Branco,2022,1,13,30.3,22.2,26.25
Norte,AC,Rio Branco,2022,1,14,30.0,22.6,26.3
Norte,AC,Rio Branco,2022,1,15,29.6,21.9,25.75
Norte,AC,Rio Branco,2022,1,16,31.2,21.8,26.5
Norte,AC,Rio Branco,2022,1,17,31.1,23.1,27.1
Norte,AC,Rio Branco,2022,1,18,29.9,22.1,26.0
Norte,AC,Rio Branco,2022,1,19,30.3,23.0,26.65
Norte,AC,Rio Branco,2022,1,20,29.8,22.2,26.0
Norte,AC,Rio Branco,2022,1,21,28.8,22.5,25.65
Norte,AC,Rio Branco,2022,1,22,28.0,22.4,25.2
Norte,AC,Rio Branco,2022,1,23,30.5,22.2,26.35
Norte,AC,Rio Branco,2022,1,24,30.5,22.4,26.45
Norte,AC,Rio Branco,2022,1,25,29.1,23.0,26.05
Norte,AC,Rio Branco,2022,1,26,30.4,21.8,26.1
Norte,AC,Rio Branco,2022,1,27,30.9,23.0,26.95
Norte,AC,Rio Branco,2022,1,28,28.4,22.7,25.55
Norte,AC,Rio Branco,2022,1,29,28.0,23.0,25.5
Norte,AC,Rio Branco,2022,1,30,28.4,22.2,25.3
Norte,AC,Rio Branco,2022,1,31,29.3,22.5,25.9
Norte,AC,Rio Branco,2022,2,1,27.2,22.4,24.8
Norte,AC,Rio Branco,2022,2,2,26.5,22.4,24.45
Norte,AC,Rio Branco,2022,2,3,31.1,21.9,26.5
Norte,AC,Rio Branco,2022,2,4,27.8,23.4,25.6
Norte,AC,Rio Branco,2022,2,5,29.5,22.5,26.0
Norte,AC,Rio Branco,2022,2,6,29.8,22.3,26.05
Norte,AC,Rio Branco,2022,2,7,28.4,22.7,25.55
Norte,AC,Rio Branco,2022,2,8,26.2,22.0,24.1
Norte,AC,Rio Branco,2022,2,9,30.0,21.6,25.8
Norte,AC,Rio Branco,2022,2,10,29.5,22.4,25.95
Norte,AC,Rio Branco,2022,2,11,30.9,22.7,26.8
Norte,AC,Rio Branco,2022,2,12,30.3,23.2,26.75
Norte,AC,Rio Branco,2022,2,13,27.4,22.0,24.7
Norte,AC,Rio Branco,2022,2,14,28.0,22.0,25.0
Norte,AC,Rio Branco,2022,2,15,28.6,22.2,25.4
Norte,AC,Rio Branco,2022,2,16,28.9,21.9,25.4
Norte,AC,Rio Branco,2022,2,17,27.6,21.4,24.5
Norte,AC,Rio Branco,2022,2,18,29.0,22.2,25.6
Norte,AC,Rio Branco,2022,2,19,26.4,22.5,24.45
Norte,AC,Rio Branco,2022,2,20,29.0,22.5,25.75
Norte,AC,Rio Branco,2022,2,21,28.0,22.2,25.1
Norte,AC,Rio Branco,2022,2,22,29.1,21.9,25.5
Norte,AC,Rio Branco,2022,2,23,29.8,22.1,25.95
Norte,AC,Rio Branco,2022,2,24,28.2,22.0,25.1
Norte,AC,Rio Branco,2022,2,25,30.0,22.8,26.4
Norte,AC,Rio Branco,2022,2,26,30.8,22.9,26.85
Norte,AC,Rio Branco,2022,2,27,32.2,21.8,27.0
Norte,AC,Rio Branco,2022,2,28,28.3,22.5,25.4
Norte,AC,Rio Branco,2022,3,1,30.9,22.5,26.7
Norte,AC,Rio Branco,2022,3,2,30.6,23.0,26.8
Norte,AC,Rio Branco,2022,3,3,31.2,22.8,27.0
Norte,AC,Rio Branco,2022,3,4,30.6,23.5,27.05
Norte,AC,Rio Branco,2022,3,5,28.6,23.1,25.85
Norte,AC,Rio Branco,2022,3,6,27.8,23.1,25.45
Norte,AC,Rio Branco,2022,3,7,28.6,22.0,25.3
Norte,AC,Rio Branco,2022,3,8,29.6,22.6,26.1
Norte,AC,Rio Branco,2022,3,9,28.2,22.1,25.15
Norte,AC,Rio Branco,2022,3,10,30.2,21.8,26.0
Norte,AC,Rio Branco,2022,3,11,31.0,22.3,26.65
Norte,AC,Rio Branco,2022,3,12,29.2,22.4,25.8
Norte,AC,Rio Branco,2022,3,13,26.9,22.3,24.6
Norte,AC,Rio Branco,2022,3,14,28.9,22.0,25.45
Norte,AC,Rio Branco,2022,3,15,27.6,22.9,25.25
Norte,AC,Rio Branco,2022,3,16,29.3,21.3,25.3
Norte,AC,Rio Branco,2022,3,17,29.5,21.8,25.65
Norte,AC,Rio Branco,2022,3,18,28.9,22.1,25.5
Norte,AC,Rio Branco,2022,3,19,28.1,22.5,25.3
Norte,AC,Rio Branco,2022,3,20,26.5,22.1,24.3
Norte,AC,Rio Branco,2022,3,21,30.5,21.4,25.95
Norte,AC,Rio Branco,2022,3,22,29.9,22.0,25.95
Norte,AC,Rio Branco,2022,3,23,30.7,22.0,26.35
Norte,AC,Rio Branco,2022,3,24,30.0,22.8,26.4
Norte,AC,Rio Branco,2022,3,25,30.8,22.9,26.85
Norte,AC,Rio Branco,2022,3,26,28.5,22.6,25.55
Norte,AC,Rio Branco,2022,3,27,27.5,21.7,24.6
Norte,AC,Rio Branco,2022,3,28,30.0,22.2,26.1
Norte,AC,Rio Branco,2022,3,29,29.8,22.1,25.95
Norte,AC,Rio Branco,2022,3,30,29.1,22.8,25.95
Norte,AC,Rio Branco,2022,3,31,30.0,22.2,26.1
Norte,AC,Rio Branco,2022,4,1,21.5,17.9,19.7
Norte,AC,Rio Branco,2022,4,2,25.5,17.5,21.5
Norte,AC,Rio Branco,2022,4,3,28.9,19.0,23.95
Norte,AC,Rio Branco,2022,4,4,30.5,19.9,25.2
Norte,AC,Rio Branco,2022,4,5,30.6,21.3,25.95
Norte,AC,Rio Branco,2022,4,6,29.9,22.2,26.05
Norte,AC,Rio Branco,2022,4,7,29.2,22.6,25.9
Norte,AC,Rio Branco,2022,4,8,30.0,22.3,26.15
Norte,AC,Rio Branco,2022,4,9,30.8,22.6,26.7
Norte,AC,Rio Branco,2022,4,10,29.4,22.5,25.95
Norte,AC,Rio Branco,2022,4,11,29.5,22.9,26.2
Norte,AC,Rio Branco,2022,4,12,30.8,22.4,26.6
Norte,AC,Rio Branco,2022,4,13,29.4,23.5,26.45
Norte,AC,Rio Branco,2022,4,14,28.9,22.0,25.45
Norte,AC,Rio Branco,2022,4,15,28.8,22.9,25.85
Norte,AC,Rio Branco,2022,4,16,30.0,22.9,26.45
Norte,AC,Rio Branco,2022,4,17,29.4,22.0,25.7
Norte,AC,Rio Branco,2022,4,18,29.0,21.8,25.4
Norte,AC,Rio Branco,2022,4,19,28.4,21.0,24.7
Norte,AC,Rio Branco,2022,4,20,29.9,22.1,26.0
Norte,AC,Rio Branco,2022,4,21,29.3,21.8,25.55
Norte,AC,Rio Branco,2022,4,22,30.3,22.0,26.15
Norte,AC,Rio Branco,2022,4,23,29.5,22.8,26.15
Norte,AC,Rio Branco,2022,4,24,30.3,22.5,26.4
Norte,AC,Rio Branco,2022,4,25,30.5,22.8,26.65
Norte,AC,Rio Branco,2022,4,26,30.8,23.0,26.9
Norte,AC,Rio Branco,2022,4,27,31.6,22.5,27.05
Norte,AC,Rio Branco,2022,4,28,31.5,22.4,26.95
Norte,AC,Rio Branco,2022,4,29,32.0,22.4,27.2
Norte,AC,Rio Branco,2022,4,30,30.0,22.7,26.35
Norte,AC,Rio Branco,2022,5,1,30.4,21.4,25.9
Norte,AC,Rio Branco,2022,5,2,30.6,21.8,26.2
Norte,AC,Rio Branco,2022,5,3,29.7,22.0,25.85
Norte,AC,Rio Branco,2022,5,4,23.6,19.9,21.75
Norte,AC,Rio Branco,2022,5,5,29.2,18.3,23.75
Norte,AC,Rio Branco,2022,5,6,30.0,19.6,24.8
Norte,AC,Rio Branco,2022,5,7,30.7,21.3,26.0
Norte,AC,Rio Branco,2022,5,8,30.0,21.4,25.7
Norte,AC,Rio Branco,2022,5,9,31.5,21.8,26.65
Norte,AC,Rio Branco,2022,5,10,32.2,22.2,27.2
Norte,AC,Rio Branco,2022,5,11,31.3,22.3,26.8
Norte,AC,Rio Branco,2022,5,12,28.4,22.2,25.3
Norte,AC,Rio Branco,2022,5,13,30.9,20.9,25.9
Norte,AC,Rio Branco,2022,5,14,31.9,21.6,26.75
Norte,AC,Rio Branco,2022,5,15,31.0,22.3,26.65
Norte,AC,Rio Branco,2022,5,16,25.7,21.2,23.45
Norte,AC,Rio Branco,2022,5,17,25.8,19.4,22.6
Norte,AC,Rio Branco,2022,5,18,25.0,18.5,21.75
Norte,AC,Rio Branco,2022,5,19,25.6,18.8,22.2
Norte,AC,Rio Branco,2022,5,20,27.0,15.6,21.3
Norte,AC,Rio Branco,2022,5,21,29.5,17.9,23.7
Norte,AC,Rio Branco,2022,5,22,29.6,19.0,24.3
Norte,AC,Rio Branco,2022,5,23,30.4,19.8,25.1
Norte,AC,Rio Branco,2022,5,24,30.4,20.9,25.65
Norte,AC,Rio Branco,2022,5,25,31.0,21.6,26.3
Norte,AC,Rio Branco,2022,5,26,30.9,21.4,26.15
Norte,AC,Rio Branco,2022,5,27,31.0,20.9,25.95
Norte,AC,Rio Branco,2022,5,28,31.0,20.2,25.6
Norte,AC,Rio Branco,2022,5,29,30.6,21.8,26.2
Norte,AC,Rio Branco,2022,5,30,31.4,22.0,26.7
Norte,AC,Rio Branco,2022,5,31,31.1,21.2,26.15
Norte,AC,Rio Branco,2022,6,1,29.2,21.3,25.25
Norte,AC,Rio Branco,2022,6,2,28.8,21.2,25.0
Norte,AC,Rio Branco,2022,6,3,29.5,21.3,25.4
Norte,AC,Rio Branco,2022,6,4,28.2,21.5,24.85
Norte,AC,Rio Branco,2022,6,5,29.5,20.9,25.2
Norte,AC,Rio Branco,2022,6,6,30.2,20.6,25.4
Norte,AC,Rio Branco,2022,6,7,29.1,21.0,25.05
Norte,AC,Rio Branco,2022,6,8,29.9,22.2,26.05
Norte,AC,Rio Branco,2022,6,9,27.6,21.0,24.3
Norte,AC,Rio Branco,2022,6,10,25.8,19.8,22.8
Norte,AC,Rio Branco,2022,6,11,24.0,18.0,21.0
Norte,AC,Rio Branco,2022,6,12,24.8,15.9,20.35
Norte,AC,Rio Branco,2022,6,13,25.1,15.2,20.15
Norte,AC,Rio Branco,2022,6,14,26.9,14.1,20.5
Norte,AC,Rio Branco,2022,6,15,28.9,16.5,22.7
Norte,AC,Rio Branco,2022,6,16,30.1,18.9,24.5
Norte,AC,Rio Branco,2022,6,17,29.4,21.2,25.3
Norte,AC,Rio Branco,2022,6,18,29.5,21.4,25.45
Norte,AC,Rio Branco,2022,6,19,27.8,19.2,23.5
Norte,AC,Rio Branco,2022,6,20,28.6,17.9,23.25
Norte,AC,Rio Branco,2022,6,21,30.0,18.8,24.4
Norte,AC,Rio Branco,2022,6,22,29.8,20.4,25.1
Norte,AC,Rio Branco,2022,6,23,29.8,20.4,25.1
Norte,AC,Rio Branco,2022,6,24,31.4,18.8,25.1
Norte,AC,Rio Branco,2022,6,25,31.1,19.2,25.15
Norte,AC,Rio Branco,2022,6,26,30.1,20.1,25.1
Norte,AC,Rio Branco,2022,6,27,30.1,17.8,23.95
Norte,AC,Rio Branco,2022,6,28,30.9,17.7,24.3
Norte,AC,Rio Branco,2022,6,29,31.2,19.0,25.1
Norte,AC,Rio Branco,2022,6,30,30.5,16.8,23.65
Norte,AC,Rio Branco,2022,7,1,30.4,16.8,23.6
Norte,AC,Rio Branco,2022,7,2,31.5,17.9,24.7
Norte,AC,Rio Branco,2022,7,3,31.4,21.5,26.45
Norte,AC,Rio Branco,2022,7,4,32.8,20.6,26.7
Norte,AC,Rio Branco,2022,7,5,31.8,20.5,26.15
Norte,AC,Rio Branco,2022,7,6,31.4,20.9,26.15
Norte,AC,Rio Branco,2022,7,7,31.1,22.3,26.7
Norte,AC,Rio Branco,2022,7,8,32.8,21.4,27.1
Norte,AC,Rio Branco,2022,7,9,32.4,20.4,26.4
Norte,AC,Rio Branco,2022,7,10,32.5,20.8,26.65
Norte,AC,Rio Branco,2022,7,11,31.7,22.0,26.85
