Regiao,Estado,Cidade,Ano,Mes,Dia,Temp_Max
Norte,Amazonas,Manaus,2021,7,12,30.3
Norte,Amazonas,Manaus,2021,7,13,28.1
Norte,Amazonas,Manaus,2021,7,14,29.4
Norte,Amazonas,Manaus,2021,7,15,30.4
Norte,Amazonas,Manaus,2021,7,16,30.1
Norte,Amazonas,Manaus,2021,7,17,30.0
Norte,Amazonas,Manaus,2021,7,18,31.0
Norte,Amazonas,Manaus,2021,7,19,31.0
Norte,Amazonas,Manaus,2021,7,20,29.8
Norte,Amazonas,Manaus,2021,7,21,29.6
Norte,Amazonas,Manaus,2021,7,22,29.4
Norte,Amazonas,Manaus,2021,7,23,30.1
Norte,Amazonas,Manaus,2021,7,24,30.1
Norte,Amazonas,Manaus,2021,7,25,31.0
Norte,Amazonas,Manaus,2021,7,26,31.0
Norte,Amazonas,Manaus,2021,7,27,31.3
Norte,Amazonas,Manaus,2021,7,28,31.4
Norte,Amazonas,Manaus,2021,7,29,29.4
Norte,Amazonas,Manaus,2021,7,30,27.2
Norte,Amazonas,Manaus,2021,7,31,30.0
Norte,Amazonas,Manaus,2021,8,1,29.6
Norte,Amazonas,Manaus,2021,8,2,28.8
Norte,Amazonas,Manaus,2021,8,3,29.6
Norte,Amazonas,Manaus,2021,8,4,30.4
Norte,Amazonas,Manaus,2021,8,5,30.5
Norte,Amazonas,Manaus,2021,8,6,30.6
Norte,Amazonas,Manaus,2021,8,7,30.8
Norte,Amazonas,Manaus,2021,8,8,31.3
Norte,Amazonas,Manaus,2021,8,9,31.6
Norte,Amazonas,Manaus,2021,8,10,31.6
Norte,Amazonas,Manaus,2021,8,11,32.2
Norte,Amazonas,Manaus,2021,8,12,31.1
Norte,Amazonas,Manaus,2021,8,13,26.6
Norte,Amazonas,Manaus,2021,8,14,27.9
Norte,Amazonas,Manaus,2021,8,15,29.3
Norte,Amazonas,Manaus,2021,8,16,29.6
Norte,Amazonas,Manaus,2021,8,17,31.2
Norte,Amazonas,Manaus,2021,8,18,31.8
Norte,Amazonas,Manaus,2021,8,19,31.8
Norte,Amazonas,Manaus,2021,8,20,31.1
Norte,Amazonas,Manaus,2021,8,21,31.6
Norte,Amazonas,Manaus,2021,8,22,32.6
Norte,Amazonas,Manaus,2021,8,23,32.5
Norte,Amazonas,Manaus,2021,8,24,33.6
Norte,Amazonas,Manaus,2021,8,25,34.0
Norte,Amazonas,Manaus,2021,8,26,32.8
Norte,Amazonas,Manaus,2021,8,27,34.3
Norte,Amazonas,Manaus,2021,8,28,30.9
Norte,Amazonas,Manaus,2021,8,29,30.6
Norte,Amazonas,Manaus,2021,8,30,28.5
Norte,Amazonas,Manaus,2021,8,31,28.2
Norte,Amazonas,Manaus,2021,9,1,29.0
Norte,Amazonas,Manaus,2021,9,2,30.5
Norte,Amazonas,Manaus,2021,9,3,31.3
Norte,Amazonas,Manaus,2021,9,4,31.0
Norte,Amazonas,Manaus,2021,9,5,29.8
Norte,Amazonas,Manaus,2021,9,6,30.6
Norte,Amazonas,Manaus,2021,9,7,32.0
Norte,Amazonas,Manaus,2021,9,8,31.4
Norte,Amazonas,Manaus,2021,9,9,28.4
Norte,Amazonas,Manaus,2021,9,10,30.6
Norte,Amazonas,Manaus,2021,9,11,30.0
Norte,Amazonas,Manaus,2021,9,12,31.2
Norte,Amazonas,Manaus,2021,9,13,31.9
Norte,Amazonas,Manaus,2021,9,14,32.0
Norte,Amazonas,Manaus,2021,9,15,32.2
Norte,Amazonas,Manaus,2021,9,16,31.9
Norte,Amazonas,Manaus,2021,9,17,30.2
Norte,Amazonas,Manaus,2021,9,18,29.4
Norte,Amazonas,Manaus,2021,9,19,31.0
Norte,Amazonas,Manaus,2021,9,20,32.0
Norte,Amazonas,Manaus,2021,9,21,32.2
Norte,Amazonas,Manaus,2021,9,22,31.8
Norte,Amazonas,Manaus,2021,9,23,31.2
Norte,Amazonas,Manaus,2021,9,24,31.4
Norte,Amazonas,Manaus,2021,9,25,30.8
Norte,Amazonas,Manaus,2021,9,26,30.0
Norte,Amazonas,Manaus,2021,9,27,30.0
Norte,Amazonas,Manaus,2021,9,28,30.8
Norte,Amazonas,Manaus,2021,9,29,31.0
Norte,Amazonas,Manaus,2021,9,30,30.6
Norte,Amazonas,Manaus,2021,10,1,31.0
Norte,Amazonas,Manaus,2021,10,2,31.5
Norte,Amazonas,Manaus,2021,10,3,31.8
Norte,Amazonas,Manaus,2021,10,4,31.2
Norte,Amazonas,Manaus,2021,10,5,34.0
Norte,Amazonas,Manaus,2021,10,6,33.5
Norte,Amazonas,Manaus,2021,10,7,33.1
Norte,Amazonas,Manaus,2021,10,8,27.9
Norte,Amazonas,Manaus,2021,10,9,31.4
Norte,Amazonas,Manaus,2021,10,10,32.4
Norte,Amazonas,Manaus,2021,10,11,32.2
Norte,Amazonas,Manaus,2021,10,12,32.7
Norte,Amazonas,Manaus,2021,10,13,31.5
Norte,Amazonas,Manaus,2021,10,14,34.8
Norte,Amazonas,Manaus,2021,10,15,34.0
Norte,Amazonas,Manaus,2021,10,16,34.7
Norte,Amazonas,Manaus,2021,10,17,28.9
Norte,Amazonas,Manaus,2021,10,18,28.4
Norte,Amazonas,Manaus,2021,10,19,31.4
Norte,Amazonas,Manaus,2021,10,20,31.9
Norte,Amazonas,Manaus,2021,10,21,27.9
Norte,Amazonas,Manaus,2021,10,22,31.2
Norte,Amazonas,Manaus,2021,10,23,31.0
Norte,Amazonas,Manaus,2021,10,24,31.0
Norte,Amazonas,Manaus,2021,10,25,30.5
Norte,Amazonas,Manaus,2021,10,26,29.8
Norte,Amazonas,Manaus,2021,10,27,28.0
Norte,Amazonas,Manaus,2021,10,28,29.8
Norte,Amazonas,Manaus,2021,10,29,30.4
Norte,Amazonas,Manaus,2021,10,30,31.5
Norte,Amazonas,Manaus,2021,10,31,31.8
Norte,Amazonas,Manaus,2021,11,1,29.1
Norte,Amazonas,Manaus,2021,11,2,27.9
Norte,Amazonas,Manaus,2021,11,3,31.4
Norte,Amazonas,Manaus,2021,11,4,30.2
Norte,Amazonas,Manaus,2021,11,5,32.8
Norte,Amazonas,Manaus,2021,11,6,28.6
Norte,Amazonas,Manaus,2021,11,7,30.2
Norte,Amazonas,Manaus,2021,11,8,28.6
Norte,Amazonas,Manaus,2021,11,9,28.4
Norte,Amazonas,Manaus,2021,11,10,28.9
Norte,Amazonas,Manaus,2021,11,11,29.2
Norte,Amazonas,Manaus,2021,11,12,29.8
Norte,Amazonas,Manaus,2021,11,13,29.3
Norte,Amazonas,Manaus,2021,11,14,30.5
Norte,Amazonas,Manaus,2021,11,15,31.0
Norte,Amazonas,Manaus,2021,11,16,29.0
Norte,Amazonas,Manaus,2021,11,17,28.1
Norte,Amazonas,Manaus,2021,11,18,25.9
Norte,Amazonas,Manaus,2021,11,19,30.0
Norte,Amazonas,Manaus,2021,11,20,30.7
Norte,Amazonas,Manaus,2021,11,21,28.9
Norte,Amazonas,Manaus,2021,11,22,29.0
Norte,Amazonas,Manaus,2021,11,23,30.5
Norte,Amazonas,Manaus,2021,11,24,32.0
Norte,Amazonas,Manaus,2021,11,25,29.8
Norte,Amazonas,Manaus,2021,11,26,28.2
Norte,Amazonas,Manaus,2021,11,27,29.3
Norte,Amazonas,Manaus,2021,11,28,29.1
Norte,Amazonas,Manaus,2021,11,29,30.2
Norte,Amazonas,Manaus,2021,11,30,29.5
Norte,Amazonas,Manaus,2021,12,1,29.5
Norte,Amazonas,Manaus,2021,12,2,28.2
Norte,Amazonas,Manaus,2021,12,3,29.8
Norte,Amazonas,Manaus,2021,12,4,29.5
Norte,Amazonas,Manaus,2021,12,5,29.5
Norte,Amazonas,Manaus,2021,12,6,29.1
Norte,Amazonas,Manaus,2021,12,7,28.2
Norte,Amazonas,Manaus,2021,12,8,30.4
Norte,Amazonas,Manaus,2021,12,9,28.3
Norte,Amazonas,Manaus,2021,12,10,29.6
Norte,Amazonas,Manaus,2021,12,11,27.6
Norte,Amazonas,Manaus,2021,12,12,29.2
Norte,Amazonas,Manaus,2021,12,13,29.0
Norte,Amazonas,Manaus,2021,12,14,28.9
Norte,Amazonas,Manaus,2021,12,15,27.1
Norte,Amazonas,Manaus,2021,12,16,29.3
Norte,Amazonas,Manaus,2021,12,17,29.4
Norte,Amazonas,Manaus,2021,12,18,28.9
Norte,Amazonas,Manaus,2021,12,19,28.7
Norte,Amazonas,Manaus,2021,12,20,30.0
Norte,Amazonas,Manaus,2021,12,21,29.0
Norte,Amazonas,Manaus,2021,12,22,30.1
Norte,Amazonas,Manaus,2021,12,23,29.5
Norte,Amazonas,Manaus,2021,12,24,28.0
Norte,Amazonas,Manaus,2021,12,25,28.5
Norte,Amazonas,Manaus,2021,12,26,31.5
Norte,Amazonas,Manaus,2021,12,27,27.6
Norte,Amazonas,Manaus,2021,12,28,30.2
Norte,Amazonas,Manaus,2021,12,29,30.8
Norte,Amazonas,Manaus,2021,12,30,27.4
Norte,Amazonas,Manaus,2021,12,31,28.9
Norte,Amazonas,Manaus,2022,1,1,29.4
Norte,Amazonas,Manaus,2022,1,2,31.0
Norte,Amazonas,Manaus,2022,1,3,30.9
Norte,Amazonas,Manaus,2022,1,4,31.6
Norte,Amazonas,Manaus,2022,1,5,31.8
Norte,Amazonas,Manaus,2022,1,6,31.9
Norte,Amazonas,Manaus,2022,1,7,26.2
Norte,Amazonas,Manaus,2022,1,8,28.4
Norte,Amazonas,Manaus,2022,1,9,29.6
Norte,Amazonas,Manaus,2022,1,10,31.1
Norte,Amazonas,Manaus,2022,1,11,31.5
Norte,Amazonas,Manaus,2022,1,12,30.8
Norte,Amazonas,Manaus,2022,1,13,28.2
Norte,Amazonas,Manaus,2022,1,14,27.5
Norte,Amazonas,Manaus,2022,1,15,29.4
Norte,Amazonas,Manaus,2022,1,16,29.5
Norte,Amazonas,Manaus,2022,1,17,26.4
Norte,Amazonas,Manaus,2022,1,18,29.4
Norte,Amazonas,Manaus,2022,1,19,30.9
Norte,Amazonas,Manaus,2022,1,20,30.1
Norte,Amazonas,Manaus,2022,1,21,30.1
Norte,Amazonas,Manaus,2022,1,22,28.8
Norte,Amazonas,Manaus,2022,1,23,27.7
Norte,Amazonas,Manaus,2022,1,24,28.5
Norte,Amazonas,Manaus,2022,1,25,29.0
Norte,Amazonas,Manaus,2022,1,26,28.8
Norte,Amazonas,Manaus,2022,1,27,29.0
Norte,Amazonas,Manaus,2022,1,28,28.4
Norte,Amazonas,Manaus,2022,1,29,28.1
Norte,Amazonas,Manaus,2022,1,30,28.7
Norte,Amazonas,Manaus,2022,1,31,29.8
Norte,Amazonas,Manaus,2022,2,1,29.4
Norte,Amazonas,Manaus,2022,2,2,26.9
Norte,Amazonas,Manaus,2022,2,3,28.5
Norte,Amazonas,Manaus,2022,2,4,27.8
Norte,Amazonas,Manaus,2022,2,5,29.1
Norte,Amazonas,Manaus,2022,2,6,29.2
Norte,Amazonas,Manaus,2022,2,7,29.4
Norte,Amazonas,Manaus,2022,2,8,28.8
Norte,Amazonas,Manaus,2022,2,9,29.8
Norte,Amazonas,Manaus,2022,2,10,28.5
Norte,Amazonas,Manaus,2022,2,11,28.5
Norte,Amazonas,Manaus,2022,2,12,30.7
Norte,Amazonas,Manaus,2022,2,13,28.0
Norte,Amazonas,Manaus,2022,2,14,25.4
Norte,Amazonas,Manaus,2022,2,15,28.4
Norte,Amazonas,Manaus,2022,2,16,30.3
Norte,Amazonas,Manaus,2022,2,17,27.8
Norte,Amazonas,Manaus,2022,2,18,26.6
Norte,Amazonas,Manaus,2022,2,19,28.0
Norte,Amazonas,Manaus,2022,2,20,30.0
Norte,Amazonas,Manaus,2022,2,21,29.2
Norte,Amazonas,Manaus,2022,2,22,28.1
Norte,Amazonas,Manaus,2022,2,23,26.6
Norte,Amazonas,Manaus,2022,2,24,29.2
Norte,Amazonas,Manaus,2022,2,25,28.4
Norte,Amazonas,Manaus,2022,2,26,27.9
Norte,Amazonas,Manaus,2022,2,27,28.9
Norte,Amazonas,Manaus,2022,2,28,29.1
Norte,Amazonas,Manaus,2022,3,1,29.2
Norte,Amazonas,Manaus,2022,3,2,28.6
Norte,Amazonas,Manaus,2022,3,3,29.5
Norte,Amazonas,Manaus,2022,3,4,28.4
Norte,Amazonas,Manaus,2022,3,5,28.8
Norte,Amazonas,Manaus,2022,3,6,29.9
Norte,Amazonas,Manaus,2022,3,7,28.2
Norte,Amazonas,Manaus,2022,3,8,27.9
Norte,Amazonas,Manaus,2022,3,9,26.4
Norte,Amazonas,Manaus,2022,3,10,29.0
Norte,Amazonas,Manaus,2022,3,11,29.4
Norte,Amazonas,Manaus,2022,3,12,30.5
Norte,Amazonas,Manaus,2022,3,13,28.4
Norte,Amazonas,Manaus,2022,3,14,25.9
Norte,Amazonas,Manaus,2022,3,15,28.9
Norte,Amazonas,Manaus,2022,3,16,29.4
Norte,Amazonas,Manaus,2022,3,17,29.0
Norte,Amazonas,Manaus,2022,3,18,29.5
Norte,Amazonas,Manaus,2022,3,19,28.1
Norte,Amazonas,Manaus,2022,3,20,27.4
Norte,Amazonas,Manaus,2022,3,21,29.0
Norte,Amazonas,Manaus,2022,3,22,30.2
Norte,Amazonas,Manaus,2022,3,23,29.3
Norte,Amazonas,Manaus,2022,3,24,30.5
Norte,Amazonas,Manaus,2022,3,25,30.0
Norte,Amazonas,Manaus,2022,3,26,29.2
Norte,Amazonas,Manaus,2022,3,27,28.6
Norte,Amazonas,Manaus,2022,3,28,26.1
Norte,Amazonas,Manaus,2022,3,29,25.9
Norte,Amazonas,Manaus,2022,3,30,27.8
Norte,Amazonas,Manaus,2022,3,31,29.1
Norte,Amazonas,Manaus,2022,4,1,30.4
Norte,Amazonas,Manaus,2022,4,2,27.2
Norte,Amazonas,Manaus,2022,4,3,28.3
Norte,Amazonas,Manaus,2022,4,4,29.2
Norte,Amazonas,Manaus,2022,4,5,28.1
Norte,Amazonas,Manaus,2022,4,6,28.5
Norte,Amazonas,Manaus,2022,4,7,29.6
Norte,Amazonas,Manaus,2022,4,8,29.4
Norte,Amazonas,Manaus,2022,4,9,27.2
Norte,Amazonas,Manaus,2022,4,10,26.5
Norte,Amazonas,Manaus,2022,4,11,30.0
Norte,Amazonas,Manaus,2022,4,12,28.5
Norte,Amazonas,Manaus,2022,4,13,30.6
Norte,Amazonas,Manaus,2022,4,14,28.1
Norte,Amazonas,Manaus,2022,4,15,28.6
Norte,Amazonas,Manaus,2022,4,16,29.4
Norte,Amazonas,Manaus,2022,4,17,29.4
Norte,Amazonas,Manaus,2022,4,18,29.2
Norte,Amazonas,Manaus,2022,4,19,28.1
Norte,Amazonas,Manaus,2022,4,20,27.6
Norte,Amazonas,Manaus,2022,4,21,27.6
Norte,Amazonas,Manaus,2022,4,22,27.9
Norte,Amazonas,Manaus,2022,4,23,30.7
Norte,Amazonas,Manaus,2022,4,24,30.3
Norte,Amazonas,Manaus,2022,4,25,31.2
Norte,Amazonas,Manaus,2022,4,26,30.5
Norte,Amazonas,Manaus,2022,4,27,28.0
Norte,Amazonas,Manaus,2022,4,28,29.5
Norte,Amazonas,Manaus,2022,4,29,28.5
Norte,Amazonas,Manaus,2022,4,30,29.5
Norte,Amazonas,Manaus,2022,5,1,28.8
Norte,Amazonas,Manaus,2022,5,2,26.9
Norte,Amazonas,Manaus,2022,5,3,29.9
Norte,Amazonas,Manaus,2022,5,4,27.4
Norte,Amazonas,Manaus,2022,5,5,30.9
Norte,Amazonas,Manaus,2022,5,6,28.9
Norte,Amazonas,Manaus,2022,5,7,28.2
Norte,Amazonas,Manaus,2022,5,8,28.5
Norte,Amazonas,Manaus,2022,5,9,28.0
Norte,Amazonas,Manaus,2022,5,10,30.7
Norte,Amazonas,Manaus,2022,5,11,31.6
Norte,Amazonas,Manaus,2022,5,12,31.2
Norte,Amazonas,Manaus,2022,5,13,30.4
Norte,Amazonas,Manaus,2022,5,14,29.9
Norte,Amazonas,Manaus,2022,5,15,28.0
Norte,Amazonas,Manaus,2022,5,16,27.5
Norte,Amazonas,Manaus,2022,5,17,27.6
Norte,Amazonas,Manaus,2022,5,18,28.8
Norte,Amazonas,Manaus,2022,5,19,27.6
Norte,Amazonas,Manaus,2022,5,20,26.6
Norte,Amazonas,Manaus,2022,5,21,27.6
Norte,Amazonas,Manaus,2022,5,22,29.2
Norte,Amazonas,Manaus,2022,5,23,30.5
Norte,Amazonas,Manaus,2022,5,24,30.9
Norte,Amazonas,Manaus,2022,5,25,31.0
Norte,Amazonas,Manaus,2022,5,26,31.4
Norte,Amazonas,Manaus,2022,5,27,30.7
Norte,Amazonas,Manaus,2022,5,28,29.8
Norte,Amazonas,Manaus,2022,5,29,28.1
Norte,Amazonas,Manaus,2022,5,30,29.0
Norte,Amazonas,Manaus,2022,5,31,28.5
Norte,Amazonas,Manaus,2022,6,1,27.4
Norte,Amazonas,Manaus,2022,6,2,29.6
Norte,Amazonas,Manaus,2022,6,3,29.5
Norte,Amazonas,Manaus,2022,6,4,27.2
Norte,Amazonas,Manaus,2022,6,5,26.5
Norte,Amazonas,Manaus,2022,6,6,28.1
Norte,Amazonas,Manaus,2022,6,7,29.5
Norte,Amazonas,Manaus,2022,6,8,28.1
Norte,Amazonas,Manaus,2022,6,9,30.1
Norte,Amazonas,Manaus,2022,6,10,30.0
Norte,Amazonas,Manaus,2022,6,11,25.6
Norte,Amazonas,Manaus,2022,6,12,28.2
Norte,Amazonas,Manaus,2022,6,13,26.6
Norte,Amazonas,Manaus,2022,6,14,28.7
Norte,Amazonas,Manaus,2022,6,15,27.8
Norte,Amazonas,Manaus,2022,6,16,29.1
Norte,Amazonas,Manaus,2022,6,17,30.2
Norte,Amazonas,Manaus,2022,6,18,30.7
Norte,Amazonas,Manaus,2022,6,19,29.2
Norte,Amazonas,Manaus,2022,6,20,29.5
Norte,Amazonas,Manaus,2022,6,21,28.8
Norte,Amazonas,Manaus,2022,6,22,29.2
Norte,Amazonas,Manaus,2022,6,23,29.8
Norte,Amazonas,Manaus,2022,6,24,29.7
Norte,Amazonas,Manaus,2022,6,25,30.5
Norte,Amazonas,Manaus,2022,6,26,28.5
Norte,Amazonas,Manaus,2022,6,27,30.5
Norte,Amazonas,Manaus,2022,6,28,29.2
Norte,Amazonas,Manaus,2022,6,29,30.8
Norte,Amazonas,Manaus,2022,6,30,30.3
Norte,Amazonas,Manaus,2022,7,1,30.5
Norte,Amazonas,Manaus,2022,7,2,30.2
Norte,Amazonas,Manaus,2022,7,3,29.0
Norte,Amazonas,Manaus,2022,7,4,27.9
Norte,Amazonas,Manaus,2022,7,5,29.8
Norte,Amazonas,Manaus,2022,7,6,30.2
Norte,Amazonas,Manaus,2022,7,7,30.2
Norte,Amazonas,Manaus,2022,7,8,30.5
Norte,Amazonas,Manaus,2022,7,9,29.5
Norte,Amazonas,Manaus,2022,7,10,30.5
Norte,Amazonas,Manaus,2022,7,11,30.8
Norte,Amazonas,Manaus,2022,7,12,31.3
Norte,Amazonas,Manaus,2022,7,13,30.9
Norte,Amazonas,Manaus,2022,7,14,30.7
Norte,Amazonas,Manaus,2022,7,15,31.0
Norte,Amazonas,Manaus,2022,7,16,31.3
Norte,Amazonas,Manaus,2022,7,17,32.3
Norte,Amazonas,Manaus,2022,7,18,31.4
Norte,Amazonas,Manaus,2022,7,19,32.2
Norte,Amazonas,Manaus,2022,7,20,30.1
Norte,Amazonas,Manaus,2022,7,21,30.2
Norte,Amazonas,Manaus,2022,7,22,31.0
Norte,Amazonas,Manaus,2022,7,23,30.9
Norte,Amazonas,Manaus,2022,7,24,32.2
Norte,Amazonas,Manaus,2022,7,25,31.7
Norte,Amazonas,Manaus,2022,7,26,32.2
Norte,Amazonas,Manaus,2022,7,27,32.4
Norte,Amazonas,Manaus,2022,7,28,32.3
Norte,Amazonas,Manaus,2022,7,29,32.2
Norte,Amazonas,Manaus,2022,7,30,30.4
Norte,Amazonas,Manaus,2022,7,31,31.4
Norte,Amazonas,Manaus,2022,8,1,31.4
Norte,Amazonas,Manaus,2022,8,2,30.5
Norte,Amazonas,Manaus,2022,8,3,31.1
Norte,Amazonas,Manaus,2022,8,4,32.5
Norte,Amazonas,Manaus,2022,8,5,32.5
Norte,Amazonas,Manaus,2022,8,6,32.5
Norte,Amazonas,Manaus,2022,8,7,33.0
Norte,Amazonas,Manaus,2022,8,8,33.0
Norte,Amazonas,Manaus,2022,8,9,33.7
Norte,Amazonas,Manaus,2022,8,10,34.0
Norte,Amazonas,Manaus,2022,8,11,32.5
Norte,Amazonas,Manaus,2022,8,12,32.2
Norte,Amazonas,Manaus,2022,8,13,31.2
Norte,Amazonas,Manaus,2022,8,14,29.9
Norte,Amazonas,Manaus,2022,8,15,32.2
Norte,Amazonas,Manaus,2022,8,16,32.2
Norte,Amazonas,Manaus,2022,8,17,33.7
Norte,Amazonas,Manaus,2022,8,18,34.1
Norte,Amazonas,Manaus,2022,8,19,34.5
Norte,Amazonas,Manaus,2022,8,20,31.3
Norte,Amazonas,Manaus,2022,8,21,31.4
Norte,Amazonas,Manaus,2022,8,22,31.0
Norte,Amazonas,Manaus,2022,8,23,31.6
Norte,Amazonas,Manaus,2022,8,24,31.8
Norte,Amazonas,Manaus,2022,8,25,30.5
Norte,Amazonas,Manaus,2022,8,26,31.6
Norte,Amazonas,Manaus,2022,8,27,32.3
Norte,Amazonas,Manaus,2022,8,28,30.2
Norte,Amazonas,Manaus,2022,8,29,32.9
Norte,Amazonas,Manaus,2022,8,30,33.6
Norte,Amazonas,Manaus,2022,8,31,33.0
Norte,Amazonas,Manaus,2022,9,1,32.0
Norte,Amazonas,Manaus,2022,9,2,33.5
Norte,Amazonas,Manaus,2022,9,3,34.0
Norte,Amazonas,Manaus,2022,9,4,34.2
Norte,Amazonas,Manaus,2022,9,5,33.5
Norte,Amazonas,Manaus,2022,9,6,32.5
Norte,Amazonas,Manaus,2022,9,7,31.9
Norte,Amazonas,Manaus,2022,9,8,32.2
Norte,Amazonas,Manaus,2022,9,9,31.0
Norte,Amazonas,Manaus,2022,9,10,34.0
Norte,Amazonas,Manaus,2022,9,11,34.8
Norte,Amazonas,Manaus,2022,9,12,33.7
Norte,Amazonas,Manaus,2022,9,13,30.0
Norte,Amazonas,Manaus,2022,9,14,32.2
Norte,Amazonas,Manaus,2022,9,15,33.2
Norte,Amazonas,Manaus,2022,9,16,32.3
Norte,Amazonas,Manaus,2022,9,17,33.7
Norte,Amazonas,Manaus,2022,9,18,31.2
Norte,Amazonas,Manaus,2022,9,19,33.2
Norte,Amazonas,Manaus,2022,9,20,34.2
Norte,Amazonas,Manaus,2022,9,21,35.2
Norte,Amazonas,Manaus,2022,9,22,33.7
Norte,Amazonas,Manaus,2022,9,23,33.8
Norte,Amazonas,Manaus,2022,9,24,34.8
Norte,Amazonas,Manaus,2022,9,25,35.5
Norte,Amazonas,Manaus,2022,9,26,34.7
Norte,Amazonas,Manaus,2022,9,27,34.9
Norte,Amazonas,Manaus,2022,9,28,36.5
Norte,Amazonas,Manaus,2022,9,29,36.2
Norte,Amazonas,Manaus,2022,9,30,35.1
Norte,Amazonas,Manaus,2022,10,1,33.5
Norte,Amazonas,Manaus,2022,10,2,32.4
Norte,Amazonas,Manaus,2022,10,3,27.0
Norte,Amazonas,Manaus,2022,10,4,33.0
Norte,Amazonas,Manaus,2022,10,5,34.2
Norte,Amazonas,Manaus,2022,10,6,35.8
Norte,Amazonas,Manaus,2022,10,7,36.0
Norte,Amazonas,Manaus,2022,10,8,35.5
Norte,Amazonas,Manaus,2022,10,9,35.6
Norte,Amazonas,Manaus,2022,10,10,32.2
Norte,Amazonas,Manaus,2022,10,11,32.0
Norte,Amazonas,Manaus,2022,10,12,33.2
Norte,Amazonas,Manaus,2022,10,13,33.2
Norte,Amazonas,Manaus,2022,10,14,32.2
Norte,Amazonas,Manaus,2022,10,15,28.5
Norte,Amazonas,Manaus,2022,10,16,30.2
Norte,Amazonas,Manaus,2022,10,17,29.1
Norte,Amazonas,Manaus,2022,10,18,31.1
Norte,Amazonas,Manaus,2022,10,19,30.5
Norte,Amazonas,Manaus,2022,10,20,30.6
Norte,Amazonas,Manaus,2022,10,21,32.4
Norte,Amazonas,Manaus,2022,10,22,28.9
Norte,Amazonas,Manaus,2022,10,23,31.9
Norte,Amazonas,Manaus,2022,10,24,31.4
Norte,Amazonas,Manaus,2022,10,25,29.1
Norte,Amazonas,Manaus,2022,10,26,31.9
Norte,Amazonas,Manaus,2022,10,27,32.4
Norte,Amazonas,Manaus,2022,10,28,33.3
Norte,Amazonas,Manaus,2022,10,29,32.0
Norte,Amazonas,Manaus,2022,10,30,32.6
Norte,Amazonas,Manaus,2022,10,31,33.0
Norte,Amazonas,Manaus,2022,11,1,29.9
